Streams,Daily,Artist,Title,Likes,Followers,Streams_norm,Daily_norm,Likes_norm,Followers_norm,Popularity
974786703,1039661,The Weeknd,Blinding Lights,16795,979634,0.48719887580959753,0.518049655865138,0.15918123805382225,0.9799496821525283,52.63156655381367
566711738,1623560,Ed Sheeran,Shape of You,1860,664801,0.2830056946817318,0.8118860261167083,0.008141098896653553,0.6617150724089795,40.9550717357161
1630257258,206521,Lewis Capaldi,Someone You Loved,77820,213981,0.8151842442849649,0.09878736305183737,0.776337213418149,0.20602419259464413,54.230345152691214
1569933321,1388336,Post Malone,Sunflower,55886,114211,0.7849992595378928,0.6935138995056757,0.554515023108585,0.10517622870866694,58.46407340797427
1327242904,933593,Tones And I,Dance Monkey,7265,196321,0.6635614539217648,0.46467289700813774,0.06280276291704169,0.18817338531563885,40.85543906168696
676483283,459764,Drake,One Dance,83386,452111,0.3379333498758471,0.22622721808090654,0.8326270972178679,0.44672706560424374,43.62896161309425
761863838,1215771,Post Malone,rockstar,38194,497689,0.38065620382968546,0.6066737555210785,0.37559288437616933,0.49279751261231297,44.72753120337864
1331528707,1459589,The Kid LAROI,STAY,88498,933160,0.6657059906449557,0.729370653652429,0.8843256035032007,0.9329735543221495,77.5616358553538
537996267,1108589,The Weeknd,Starboy,45131,921297,0.2686370029608982,0.5527363967718705,0.44574791921602736,0.9209823806669489,49.134814051532864
1246736086,411562,Imagine Dragons,Believer,61263,870952,0.6232773280139132,0.20197045326564533,0.6088935184716983,0.8700934286589354,58.55024112848211
1360570433,226486,Harry Styles,As It Was,17023,466956,0.6802379343464858,0.10883437997098366,0.16148703997734648,0.4617324582461935,41.85059493774991
1596211127,436888,Glass Animals,Heat Waves,42090,860741,0.7981481886818331,0.21471529426210412,0.4149937804027063,0.8597721040198684,61.71555112096691
1359973973,1469445,The Chainsmokers,Closer,68221,39984,0.6799394767706443,0.734330503327115,0.6792609298045124,0.03014724388993956,56.07235261125712
742753714,845988,Ed Sheeran,Perfect,65820,653235,0.3710938504730958,0.42058730135565536,0.6549792174431892,0.6500241076870671,49.355566548642074
7508856,920155,Shawn Mendes,Se̱orita,1769,739182,0.0031908930767117977,0.4579104720965681,0.007220800760510109,0.7368997211190415,24.168255602590865
1275236900,1822214,James Arthur,Say You Won't Let Go,60735,15901,0.6375386093336178,0.9118549767330915,0.6035537666488,0.0058040393768996786,55.92580002852054
305476999,560428,Billie Eilish,lovely,63955,172624,0.1522886525874742,0.2768845139060477,0.6361181622354142,0.16422035133542434,27.636006653036695
1076751430,273328,Harry Styles,Watermelon Sugar,65925,232317,0.5382201433577413,0.13240674994477034,0.6560410999079701,0.2245583037083384,41.78892880553123
1344737037,1486285,The Neighbourhood,Sweater Weather,68969,303199,0.6723151952063937,0.7428049218053732,0.6868255782202849,0.2962061475107423,61.40934075898375
537330167,1738782,Dua Lipa,Don't Start Now,6311,703045,0.26830369881432,0.8698693661346335,0.05315480223703238,0.7003722792933668,43.20007690587345
1870586806,121361,Billie Eilish,bad guy,84104,155788,0.9354407146252665,0.05593216841950586,0.8398883506437029,0.1472024469555074,58.27808790538498
309146626,1736131,Juice WRLD,Lucid Dreams,54707,648387,0.1541248662122985,0.8685352994252592,0.5425916000040452,0.6451237275234987,47.290007187548
